,0,1
0,android,Contains resource classes used by applications included in the platform and defines application  permissions for system features.
1,android.accessibilityservice,The classes in this package are used for development of accessibility service that  provide alternative or augmented feedback to the user.
2,android.accounts,
3,android.animation,"These classes provide functionality for the property animation system, which allows you  to animate object properties of any type. int, float, and hexadecimal  color values are supported by default. You can animate any other type by telling the system how  to calculate the values for that given type with a custom TypeEvaluator.  For more information, see the  Animation guide."
4,android.annotation,
5,android.app,Contains high-level classes encapsulating the overall Android application model.
6,android.app.admin,"Provides device administration features at the system level, allowing you to create  security-aware applications that are useful in enterprise settings, in which IT professionals  require rich control over employee devices.  For more information, see the  Device Administration  guide."
7,android.app.assist,
8,android.app.backup,"Contains the backup and restore functionality available to  applications. If a user wipes the data on their device or upgrades to a new Android-powered  device, all applications that have enabled backup can restore the user's previous data when the  application is reinstalled.  For more information, see the Data Backup guide."
9,android.app.job,
10,android.app.role,
11,android.app.slice,
12,android.app.usage,
13,android.appwidget,"Contains the components necessary to create ""app widgets"", which users can embed in other  applications (such as the home screen) to quickly access application data and services without  launching a new activity.  For more information, see the  App Widgets guide."
14,android.bluetooth,"Provides classes that manage Bluetooth functionality, such as scanning for  devices, connecting with devices, and managing data transfer between devices.  The Bluetooth API supports both ""Classic Bluetooth"" and Bluetooth Low Energy.  For more information about Classic Bluetooth, see the  Bluetooth guide.  For more information about Bluetooth Low Energy, see the  Bluetooth Low Energy (BLE) guide."
15,android.bluetooth.le,
16,android.companion,
17,android.content,Contains classes for accessing and publishing data on a device.
18,android.content.pm,"Contains classes for accessing information about an  application package, including information about its activities,  permissions, services, signatures, and providers."
19,android.content.res,"Contains classes for accessing application resources,  such as raw asset files, colors, drawables, media, or other files  in the package, plus important device configuration details  (orientation, input types, etc.) that affect how the application may behave.  For more information, see the Application Resources guide."
20,android.database,Contains classes to explore data returned through a content provider.
21,android.database.sqlite,Contains the SQLite database management  classes that an application would use to manage its own private database.
22,android.drm,Provides classes for managing DRM content and determining the capabilities of DRM plugins  (agents).
23,android.gesture,"Provides classes to create, recognize, load and save gestures."
24,android.graphics,"Provides low level graphics tools such as canvases, color filters, points, and  rectangles that let you handle drawing to the screen directly."
25,android.graphics.drawable,"Provides classes to manage a variety of visual elements that are intended for  display only, such as bitmaps and gradients."
26,android.graphics.drawable.shapes,Contains classes for drawing geometric shapes.
27,android.graphics.fonts,
28,android.graphics.pdf,Contains classes for manipulation of PDF content.
29,android.graphics.text,
30,android.hardware,"Provides support for hardware features, such as the camera and other sensors."
31,android.hardware.biometrics,
32,android.hardware.camera2,The android.hardware.camera2 package provides an interface to  individual camera devices connected to an Android device.
33,android.hardware.camera2.params,
34,android.hardware.display,
35,android.hardware.fingerprint,
36,android.hardware.input,
37,android.hardware.usb,"Provides support to communicate with USB hardware peripherals that are connected to  Android-powered devices.  For more information, see the  USB guide."
38,android.icu.lang,
39,android.icu.math,
40,android.icu.text,
41,android.icu.util,
42,android.inputmethodservice,Base classes for writing input methods (such as software keyboards).
43,android.location,Contains the framework API classes that define Android location-based and  related services.
44,android.media,Provides classes that manage various media interfaces in audio and video.
45,android.media.audiofx,Provides classes that manage audio effects implemented in the media framework.
46,android.media.browse,
47,android.media.effect,Provides classes that allow you to apply a variety of visual effects to images and  videos.
48,android.media.midi,"Provides classes for sending and receiving messages using the standard MIDI  event protocol over USB, Bluetooth LE, and virtual (inter-app) transports."
49,android.media.projection,
50,android.media.session,
51,android.media.tv,
52,android.mtp,"Provides APIs that let you interact directly with connected cameras and other devices, using the  PTP (Picture Transfer Protocol) subset of the MTP (Media Transfer Protocol) specification."
53,android.net,"Classes that help with network access, beyond the normal java.net.* APIs."
54,android.net.http,
55,android.net.nsd,
56,android.net.rtp,
57,android.net.sip,
58,android.net.ssl,
59,android.net.wifi,Provides classes to manage Wi-Fi functionality on the device.
60,android.net.wifi.aware,Provides classes which allow applications to use Wi-Fi Aware to discover peers and create  connections to them.
61,android.net.wifi.hotspot2,
62,android.net.wifi.hotspot2.omadm,
63,android.net.wifi.hotspot2.pps,
64,android.net.wifi.p2p,Provides classes to create peer-to-peer (P2P) connections with Wi-Fi Direct.
65,android.net.wifi.p2p.nsd,
66,android.net.wifi.rtt,Provides classes which allow applications to use Wi-Fi RTT (IEEE 802.11mc) to measure distance  to supporting Access Points and peer devices.
67,android.nfc,"Provides access to Near Field Communication (NFC) functionality, allowing applications to read  NDEF message in NFC tags. A ""tag"" may actually be another device that appears as a tag.  For more information, see the  Near Field Communication guide."
68,android.nfc.cardemulation,
69,android.nfc.tech,"These classes provide access to a tag technology's features, which vary by the type  of tag that is scanned."
70,android.opengl,Provides an OpenGL ES static interface and utilities.
71,android.os,"Provides basic operating system services, message passing, and inter-process  communication on the device."
72,android.os.health,The android.os.health package contains a set of classes to provide data  to track the system resources of applications.
73,android.os.storage,"Contains classes for the system storage service, which manages binary asset filesystems  known as Opaque Binary Blobs (OBBs)."
74,android.os.strictmode,
75,android.preference,These classes are deprecated.
76,android.print,Overview  Provides classes for implementing print support in applications and also contains all  base classes and abstractions involved in printing.
77,android.print.pdf,
78,android.printservice,Provides classes for implementing print services.
79,android.provider,Provides convenience classes to access the content providers supplied by  Android.
